RunID,C1,R2,C2,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,Distance,Cluster
20,100n,7M,10n,10.319763624243885,5.403734164646178e-05,0.0005570280574085299,0.23359044842621873,0.0012979836071148965,0.022627670373368772,20.128423017715885,0.03196890910082257,402.3349,2.329323,8.274942544804886e-06,True,"<a href=""waveforms/run_20.html"" target=""_blank"">Plot</a>",8.274942544804885,2.329323,9.108435319510095,1
19,90n,7M,10n,10.538730235259873,9.461008422198653e-05,0.0009970854714677223,0.23793738172866455,0.0014634148443237076,0.02256979972163525,17.305998910726945,0.036610738623732715,402.3276,2.331116,8.260760784029852e-06,True,"<a href=""waveforms/run_19.html"" target=""_blank"">Plot</a>",8.260760784029852,2.331116,9.317171437105161,1
18,80n,7M,10n,10.809466926860129,5.305303124462925e-05,0.0005729768991213275,0.2436375441019109,0.0014604859254727372,0.02253155605536788,15.957079590630956,0.03800172821875025,402.318,2.299322,8.23705465781164e-06,True,"<a href=""waveforms/run_18.html"" target=""_blank"">Plot</a>",8.23705465781164,2.299322,9.57447586055442,1
17,70n,7M,10n,11.153235976612521,3.7318380682792714e-05,0.0004158977393374429,0.25020245722132944,0.0014939517676888644,0.022424912083111107,14.104957892344153,0.04315007031418189,402.30449999999996,2.295796,8.183856977428261e-06,True,"<a href=""waveforms/run_17.html"" target=""_blank"">Plot</a>",8.183856977428261,2.295796,9.89718122083396,1
16,60n,7M,10n,11.602884175710548,1.8384042114118415e-05,0.00021329868636482362,0.2584250270546784,0.0013875841327393665,0.02226378065162642,12.949946634952713,0.030263583912473475,402.285,2.3929539999999996,8.137415693848679e-06,True,"<a href=""waveforms/run_16.html"" target=""_blank"">Plot</a>",8.137415693848679,2.3929539999999996,10.326510277733385,1
85,50n,7M,20n,7.971753432416415,1.7892225344249958e-05,0.00014263558892924717,0.3259196250109591,0.0007023781010401705,0.040874097188471056,28.81316563867365,0.08577943700141727,402.3403,2.291256,1.470904210969513e-05,True,"<a href=""waveforms/run_85.html"" target=""_blank"">Plot</a>",14.70904210969513,2.291256,10.850392018652443,2
86,60n,7M,20n,7.4133155119472205,1.7522263132616447e-05,0.00012989476443297506,0.31000672218525466,0.0007600816344032981,0.041807743181543254,26.654433205642757,0.06232066704510954,402.402,2.362025,1.5135814507257122e-05,True,"<a href=""waveforms/run_86.html"" target=""_blank"">Plot</a>",15.135814507257122,2.362025,10.88257354925044,0
15,50n,7M,10n,12.216867734689835,1.5348913402109173e-05,0.0001875153898811426,0.26958385220567593,0.0010999152401379314,0.022057637332185808,11.694650184487978,0.04893704757074723,402.2556,2.3553870000000003,8.028770887768127e-06,True,"<a href=""waveforms/run_15.html"" target=""_blank"">Plot</a>",8.028770887768127,2.3553870000000003,10.90720703745425,1
87,70n,7M,20n,7.002255365566041,1.743373126779145e-05,0.0001220739578131756,0.29725112466615033,0.0007181712769759913,0.04244159913108666,26.22532011356808,0.07391534259652126,402.4456,2.4139310000000003,1.5440299276581112e-05,True,"<a href=""waveforms/run_87.html"" target=""_blank"">Plot</a>",15.440299276581111,2.4139310000000003,10.926759105028268,0
88,80n,7M,20n,6.686197374387515,1.961669126922169e-05,0.0001311630564017101,0.286895074665794,0.0006614037862585062,0.04289881785620305,24.406478857220137,0.06483074866724922,402.47729999999996,2.4526130000000004,1.5644763260723248e-05,True,"<a href=""waveforms/run_88.html"" target=""_blank"">Plot</a>",15.644763260723249,2.4526130000000004,10.950712376895893,0
89,90n,7M,20n,6.43511328121032,1.786691397746305e-05,0.0001149773599280109,0.27851255325771146,0.0007202815259841479,0.04327061882200445,11.605486733539424,0.0464268292808543,402.5017,2.482615,1.5827700351480923e-05,False,"<a href=""waveforms/run_89.html"" target=""_blank"">Plot</a>",15.827700351480923,2.482615,10.997228618923804,0
90,100n,7M,20n,6.230623675799512,1.944904478936044e-05,0.0001211816211666059,0.2712522670821818,0.0007947497293418729,0.043526195995684726,12.252606626254439,0.045542489382691086,402.52000000000004,2.50648,1.597134852334934e-05,False,"<a href=""waveforms/run_90.html"" target=""_blank"">Plot</a>",15.971348523349342,2.50648,11.036602363777359,0
84,40n,7M,20n,8.779006871755119,1.1198619838706918e-05,9.831073204514752e-05,0.34700800860248715,0.0007023481960233949,0.03951705374837072,27.899878442995156,0.06502017831973142,402.2487,2.188267,1.4311520178494702e-05,True,"<a href=""waveforms/run_84.html"" target=""_blank"">Plot</a>",14.311520178494701,2.188267,11.048317008331306,2
100,100n,12M,20n,8.442033729985836,8.453772823982015e-05,0.0007135458022482299,0.3380284678822585,0.0009015330791393273,0.04002912790025085,13.032520280566471,0.03635636950580243,402.1036,2.0039610000000003,1.4688568923178361e-05,False,"<a href=""waveforms/run_100.html"" target=""_blank"">Plot</a>",14.68856892317836,2.0039610000000003,11.12128869515947,2
99,90n,12M,20n,8.669713000588759,1.366289020895156e-05,0.00011845312113992743,0.3436073581390302,0.0010200976700880074,0.039622820771634835,12.065539827076224,0.02728777792905549,402.078,2.16901,1.4552764144369702e-05,False,"<a href=""waveforms/run_99.html"" target=""_blank"">Plot</a>",14.552764144369702,2.16901,11.160401382568079,2
98,80n,12M,20n,8.952858853201263,1.4358656060867455e-05,0.00012855030668621124,0.35001476011749244,0.0005029231635410011,0.039083248654747695,11.243959941330287,0.028963008648810244,402.0461,2.127661,1.4391207326969293e-05,False,"<a href=""waveforms/run_98.html"" target=""_blank"">Plot</a>",14.391207326969292,2.127661,11.2230773627345,2
97,70n,12M,20n,9.313738405210387,9.7455327712614e-06,9.076727025205834e-05,0.35859030025998645,0.0010614207548717482,0.038490837855508345,10.669699586809143,0.04570625607375635,402.0053,2.0768039999999997,1.4109546728955387e-05,False,"<a href=""waveforms/run_97.html"" target=""_blank"">Plot</a>",14.109546728955387,2.0768039999999997,11.26140559673484,2
96,60n,12M,20n,9.78972665562413,6.883104283350629e-06,6.738385890919965e-05,0.3689319092429541,0.00041673586527236943,0.037674645065004723,10.188267113491415,0.034342367640880035,401.9517,2.013112,1.3733715910668852e-05,False,"<a href=""waveforms/run_96.html"" target=""_blank"">Plot</a>",13.733715910668852,2.013112,11.33710411930215,2
110,100n,17M,20n,9.877654839966723,0.00012431715517736814,0.0012267036777739017,0.3690343230387171,0.0013606924261654356,0.03734694994153671,15.044351868997301,0.031043567970441357,401.86060000000003,1.769698,1.3663472084792822e-05,False,"<a href=""waveforms/run_110.html"" target=""_blank"">Plot</a>",13.663472084792822,1.769698,11.354025938494974,2
83,30n,7M,20n,10.062600330806932,1.3447798676429462e-06,1.353201115284314e-05,0.37494054479405514,1.0830056946583497e-05,0.037246910108362154,25.577668953761346,0.10508046515834667,402.0933,2.025858,1.3497906161165103e-05,True,"<a href=""waveforms/run_83.html"" target=""_blank"">Plot</a>",13.497906161165103,2.025858,11.38142000045568,2
