RunID,C2,R3,Rcl1,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,Distance,Cluster
8,90n,1.5M,200K,2.2148494611970855,0.13906612298408208,0.32206542188034737,0.06162128430178935,0.9650667389935224,0.03608305020584672,14.412069368670611,0.15035766322442878,228.6123,7.487315,6.2966931944027894e-06,True,"<a href=""waveforms/run_8.html"" target=""_blank"">Plot</a>",6.296693194402789,7.487315,0.7739745498262166,0
7,80n,1.5M,200K,2.2248180374397264,0.14348203219706035,0.293793605391715,0.06859642082427667,0.7648746293013909,0.038964152625688885,14.57253713354365,0.10566365339446264,228.621,7.497399000000001,6.4150531207147755e-06,True,"<a href=""waveforms/run_7.html"" target=""_blank"">Plot</a>",6.415053120714775,7.497399000000001,0.8352426476258564,0
44,90n,1M,300K,2.7756904229966013,0.11200624767432014,0.28121045094985586,0.09040301522604881,0.5840269842154892,0.040583389436494116,15.052150015041695,0.09521707468097539,220.24349999999998,5.638840999999999,6.555286016194665e-06,True,"<a href=""waveforms/run_44.html"" target=""_blank"">Plot</a>",6.555286016194665,5.638840999999999,1.3913046449669422,0
14,70n,2.5M,200K,1.9564262805665626,0.2401412735966842,0.37158251532323316,0.07526368639433234,0.5962973353602465,0.04441080664452173,15.595095996769553,0.1003932385078815,223.8998,7.197515999999999,7.331723915351207e-06,True,"<a href=""waveforms/run_14.html"" target=""_blank"">Plot</a>",7.331723915351207,7.197515999999999,1.407768992523338,1
164,90n,1M,600K,2.7600526854102503,0.1621572757141431,0.44129950896393166,0.11021459157937526,0.5323566730006426,0.045770803891015434,16.657633253394128,0.05487744133945556,189.9836,3.394587,6.743367177804033e-06,True,"<a href=""waveforms/run_164.html"" target=""_blank"">Plot</a>",6.743367177804033,3.394587,1.462985827356477,0
144,90n,1M,550K,2.843025594954767,0.14887330189128997,0.5957593739692585,0.08565971779301339,0.6027733691191087,0.03615313948129962,16.273975210491166,0.0776231634693996,194.4212,3.6008809999999998,5.415763052569939e-06,True,"<a href=""waveforms/run_144.html"" target=""_blank"">Plot</a>",5.415763052569939,3.6008809999999998,1.4645991121962358,2
104,90n,1M,450K,2.933338489765064,0.09767054463949776,0.30714846938409845,0.09769197251346282,0.6981200875712975,0.04117677593943499,16.32171757532555,0.11228589323669635,204.0041,4.148756,6.398258360822904e-06,True,"<a href=""waveforms/run_104.html"" target=""_blank"">Plot</a>",6.398258360822904,4.148756,1.4876387156185944,0
146,70n,1.5M,550K,3.040830865816129,0.11645953596400711,0.3201283287001908,0.10414675969859213,0.5412402941983075,0.0423656348766255,18.93292355511968,0.11758180287561897,192.0515,3.286411,6.253398981627141e-06,True,"<a href=""waveforms/run_146.html"" target=""_blank"">Plot</a>",6.253398981627141,3.286411,1.5615283541906482,0
48,90n,1.5M,300K,1.7813923809807415,0.2483871114338624,0.3293873936765653,0.08056523876525686,0.7145391413015355,0.046698678941392874,16.934824569627065,0.11460491387516877,217.045,5.31603,7.5482381613730314e-06,True,"<a href=""waveforms/run_48.html"" target=""_blank"">Plot</a>",7.548238161373032,5.31603,1.5736019434424187,1
45,60n,1.5M,300K,3.097894857143715,0.12563484998819247,0.3438718122843515,0.08331007931127453,0.7216315629259918,0.037487096031130034,17.033566991983616,0.0923692235737069,217.2244,5.315982,5.9270299402962565e-06,True,"<a href=""waveforms/run_45.html"" target=""_blank"">Plot</a>",5.927029940296256,5.315982,1.5995601283163758,2
86,70n,1.5M,400K,3.0232480210025012,0.13163040136978973,0.4253456509293522,0.09171033680015317,0.7256459085001171,0.042338213992569096,18.242551615933454,0.11942130937336934,206.408,4.20562,6.528184385093756e-06,True,"<a href=""waveforms/run_86.html"" target=""_blank"">Plot</a>",6.528184385093756,4.20562,1.6122230857250823,0
126,70n,1.5M,500K,3.0667183807663205,0.1447082158401683,0.5063766945281575,0.09960833066281112,0.7193460878215872,0.04489206961683591,19.26297023754274,0.11658683813864618,196.6103,3.532557,6.680222636582198e-06,True,"<a href=""waveforms/run_126.html"" target=""_blank"">Plot</a>",6.680222636582198,3.532557,1.7080132669127246,0
43,80n,1M,300K,2.8537576971306344,0.10309171244925715,0.3342528507956017,0.09869665078667506,0.5825986241041314,0.04320357899286899,15.670041732414465,0.08654434425914036,220.2781,5.638847999999999,7.062607515692442e-06,True,"<a href=""waveforms/run_43.html"" target=""_blank"">Plot</a>",7.062607515692442,5.638847999999999,1.720986529565674,1
62,70n,1M,350K,3.2370586981109684,0.08280538033376651,0.2872431989661366,0.1005847142707528,0.507815495902984,0.03724995793534741,15.842175763210703,0.10585798428175411,214.7038,5.003105,5.914035398590144e-06,True,"<a href=""waveforms/run_62.html"" target=""_blank"">Plot</a>",5.914035398590144,5.003105,1.7391845311462863,2
3,80n,1M,200K,2.6069328795808078,0.10086596503221311,0.23826968470244983,0.09391637491112956,0.5994913904495172,0.04336560714005163,13.729353849678843,0.08230136669987251,232.14690000000002,7.831914,7.36443251767901e-06,True,"<a href=""waveforms/run_3.html"" target=""_blank"">Plot</a>",7.36443251767901,7.831914,1.7569793667533322,1
149,60n,2M,550K,3.1986437768111786,0.2013082515627951,0.5223577991481535,0.09201190897557715,0.700920407661369,0.0448019975655181,20.405287829478855,0.14106131110017192,190.29659999999998,3.12365,6.494923658984351e-06,True,"<a href=""waveforms/run_149.html"" target=""_blank"">Plot</a>",6.494923658984351,3.12365,1.7692767190922405,0
147,80n,1.5M,550K,3.152663603268384,0.1480188629151334,0.38187554985847066,0.07996150341052563,0.9078682955400419,0.036380599170315164,17.517757512755907,0.15708478334382936,191.9638,3.286414,5.306210491181085e-06,True,"<a href=""waveforms/run_147.html"" target=""_blank"">Plot</a>",5.306210491181085,3.286414,1.7923841296204421,2
