RunID,C1,R2,C2,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,Distance,Cluster
20,100n,3.4M,10n,4.082064667316137,0.00016143007075648878,0.0006570159593648443,0.07882667641287287,0.0014497568408016854,0.019307584783350155,16.665653064719887,0.03419554829469545,402.41769999999997,2.247823,7.034338479091238e-06,False,"<a href=""waveforms/run_20.html"" target=""_blank"">Plot</a>",7.034338479091239,2.247823,2.781530879844977,1
19,90n,3.4M,10n,4.270276538914021,3.3170189626797357e-07,1.4164619401822331e-06,0.08313207581790638,6.995869921599977e-05,0.019465054390046106,15.25943336591896,0.03423561484182862,402.41400000000004,2.260665,7.092269361844702e-06,False,"<a href=""waveforms/run_19.html"" target=""_blank"">Plot</a>",7.092269361844702,2.260665,2.977832174734177,1
18,80n,3.4M,10n,4.4984236013066035,2.1198064948733074e-05,9.535794508972598e-05,0.0881258778480181,0.0011729311676714307,0.019586191084752513,14.251068653359058,0.026887100355370782,402.4201,2.272603,7.134385357083159e-06,False,"<a href=""waveforms/run_18.html"" target=""_blank"">Plot</a>",7.1343853570831595,2.272603,3.205834404837085,1
17,70n,3.4M,10n,4.78185430681917,4.4796047784620205e-06,2.1420851029235125e-05,0.09407229592418509,0.00028065814490200043,0.019669314068627732,13.4485324101771,0.03936385353034863,402.433,2.284126,7.1657331070661946e-06,False,"<a href=""waveforms/run_17.html"" target=""_blank"">Plot</a>",7.1657331070661945,2.284126,3.4827433681076387,1
16,60n,3.4M,10n,5.143393656127759,1.6154213810287525e-07,8.308744643214211e-07,0.10204703255169875,3.5667629435529234e-05,0.019837344893948117,26.70162617774023,0.07643684558229781,402.4518,2.2951170000000003,7.1994206321060785e-06,True,"<a href=""waveforms/run_16.html"" target=""_blank"">Plot</a>",7.1994206321060785,2.2951170000000003,3.835743368140489,1
15,50n,3.4M,10n,5.62150008047237,7.271923211895958e-07,4.087891903712483e-06,0.11192583956239756,3.07492380690698e-05,0.01990700284332486,30.892972000132026,0.04903851789553857,402.4536,2.305048,7.199410730265886e-06,False,"<a href=""waveforms/run_15.html"" target=""_blank"">Plot</a>",7.199410730265886,2.305048,4.29247586052743,0
30,100n,3.9M,10n,5.416677282930706,1.2719659506524489e-05,6.889597745930589e-05,0.1187996898950464,0.00158810063678978,0.021928376948294134,15.79003777261259,0.033460821536423366,402.597,2.507937,8.015791587603055e-06,False,"<a href=""waveforms/run_30.html"" target=""_blank"">Plot</a>",8.015791587603054,2.507937,4.404971811859492,0
29,90n,3.9M,10n,5.62649415597256,1.1262263682234694e-05,6.336704737911771e-05,0.12374085659706571,0.001113047219154638,0.021988883398863058,14.557410066481673,0.04077203018443306,402.6019,2.511719,8.042326935636919e-06,False,"<a href=""waveforms/run_29.html"" target=""_blank"">Plot</a>",8.042326935636918,2.511719,4.604242970489696,0
28,80n,3.9M,10n,5.881605070744881,1.1647684563399545e-05,6.850685454070466e-05,0.12934659713846183,0.0011298825054756759,0.02198765243069506,13.50828786332645,0.031883890916735796,402.6053,2.5134809999999996,8.044612724335726e-06,False,"<a href=""waveforms/run_28.html"" target=""_blank"">Plot</a>",8.044612724335726,2.5134809999999996,4.835173646157169,0
14,40n,3.4M,10n,6.286531787949734,4.500823588975537e-06,2.8294571440911033e-05,0.12578561961896836,0.0017448420760213447,0.020003304541599716,32.299635396258886,0.07353005174220383,402.43240000000003,2.3125880000000003,7.201123783259127e-06,True,"<a href=""waveforms/run_14.html"" target=""_blank"">Plot</a>",7.201123783259127,2.3125880000000003,4.934935146459779,0
27,70n,3.9M,10n,6.1987595966624305,1.591695005065102e-05,9.866679990269872e-05,0.13671288133234927,0.001362935887679106,0.022050088833447237,12.879623614223178,0.04621697116854844,402.60889999999995,2.514348,8.04028866873121e-06,False,"<a href=""waveforms/run_27.html"" target=""_blank"">Plot</a>",8.04028866873121,2.514348,5.122608671270943,0
40,100n,4.4M,10n,6.4989014070480104,4.6990549509093883e-05,0.0003051953906095261,0.14661109594078103,0.0015735128330358016,0.022554418806953698,16.33829220353033,0.04292841862608363,402.5885,2.5209930000000003,8.268158938694977e-06,False,"<a href=""waveforms/run_40.html"" target=""_blank"">Plot</a>",8.268158938694977,2.5209930000000003,5.48940436191109,2
26,60n,3.9M,10n,6.60445243443492,1.4154513152794529e-05,9.348175045820812e-05,0.14584294027085967,0.0010363887371546915,0.022077909614184182,25.861552532114874,0.05859875665015958,402.6103,2.513977,8.037828111574827e-06,True,"<a href=""waveforms/run_26.html"" target=""_blank"">Plot</a>",8.037828111574827,2.513977,5.496196691143177,2
39,90n,4.4M,10n,6.714303863664006,1.4554764155046169e-05,9.7727711960377e-05,0.15158030258314148,0.0012976031210486026,0.022570972170832877,14.727886010396515,0.031747487075691375,402.59,2.554326,8.264818555595829e-06,False,"<a href=""waveforms/run_39.html"" target=""_blank"">Plot</a>",8.264818555595829,2.554326,5.684924614486331,2
13,30n,3.4M,10n,7.284835888774185,1.5153499805225301e-06,1.1039110030735822e-05,0.14605073119527823,0.001481796571583185,0.0200430082956807,32.98229519541987,0.0710581658227348,402.44530000000003,2.313215,7.243653205578236e-06,True,"<a href=""waveforms/run_13.html"" target=""_blank"">Plot</a>",7.243653205578235,2.313215,5.9170093422095285,2
38,80n,4.4M,10n,6.976469705118951,1.670267181404636e-05,0.00011652607769926184,0.15758924143899994,0.0015036419598610951,0.022583595483092352,13.907322462329972,0.03478379670972457,402.5906,2.5518680000000002,8.267667296894503e-06,False,"<a href=""waveforms/run_38.html"" target=""_blank"">Plot</a>",8.267667296894503,2.5518680000000002,5.927397017282583,2
25,50n,3.9M,10n,7.14363878291076,1.6639401061788314e-05,0.00011886547578537305,0.15771465187486425,0.0011548409328577549,0.022072477694367383,29.854497828292754,0.04500320338143571,402.6087,2.510507,8.000537099855915e-06,False,"<a href=""waveforms/run_25.html"" target=""_blank"">Plot</a>",8.000537099855915,2.510507,5.987721386293317,2
37,70n,4.4M,10n,7.303731901307103,1.4549068634086916e-05,0.0001062630052950316,0.16502199321251226,0.0017741372317564028,0.02258895782402242,13.197276542126025,0.048916445214786525,402.5897,2.548191,8.267834360637363e-06,False,"<a href=""waveforms/run_37.html"" target=""_blank"">Plot</a>",8.267834360637362,2.548191,6.2310815007940015,2
50,100n,4.9M,10n,7.418460984972587,6.076693275653702e-05,0.0004499533679449457,0.16926400892880983,0.0015261264669681435,0.022811347472323707,16.745644301607143,0.04442124149215972,402.549,2.51111,8.346658603291908e-06,False,"<a href=""waveforms/run_50.html"" target=""_blank"">Plot</a>",8.346658603291909,2.51111,6.366709278037329,2
60,100n,5M,10n,7.588253546369559,2.113800038239438e-05,0.0001603937909460755,0.17325793389975336,0.0013607983835265374,0.02282703293863123,16.516996511776394,0.030595942785622065,402.53720000000004,2.537616,8.33973631008987e-06,False,"<a href=""waveforms/run_60.html"" target=""_blank"">Plot</a>",8.33973631008987,2.537616,6.522361324369762,2
