RunID,C1,R2,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,Distance,Cluster
281,10n,5.7M,13.020295864398813,3.657448383322769e-06,4.7619435267453054e-05,0.5252039593121195,3.8202548919936704e-05,0.04028861518307649,25.286846116000874,0.07151447355335003,400.9588,0.9235869,1.352158356529159e-05,True,"<a href=""waveforms/run_281.html"" target=""_blank"">Plot</a>",13.52158356529159,0.9235869,13.758322431639293,2
271,10n,5.6M,12.846029079537104,2.6649995831922902e-06,3.423457061414157e-05,0.5260126747050171,0.00011672897969855602,0.04089489090164245,25.24392937183129,0.03166225759022763,400.974,0.9479029,1.3789481596221327e-05,True,"<a href=""waveforms/run_271.html"" target=""_blank"">Plot</a>",13.789481596221327,0.9479029,13.762572412582335,2
261,10n,5.5M,12.671504489382952,3.1004414323132166e-06,3.928743798824244e-05,0.5267086157575598,3.5666297286261486e-05,0.0415137127313078,27.879828407399174,0.07696523923333003,400.9911,0.9477464999999999,1.4065366206103014e-05,True,"<a href=""waveforms/run_261.html"" target=""_blank"">Plot</a>",14.065366206103015,0.9477464999999999,13.778702572987488,2
251,10n,5.4M,12.49653778559228,3.1236257847600833e-06,3.9034421540373814e-05,0.5265132340361817,2.664688815474905e-05,0.042080077252236045,27.46886385755057,0.09865292598976481,401.0077,0.9513406,1.4312855783410651e-05,True,"<a href=""waveforms/run_251.html"" target=""_blank"">Plot</a>",14.312855783410651,0.9513406,13.785043146314148,2
291,10n,5.8M,13.19487738865167,3.0445332191395573e-06,4.0170922473474435e-05,0.5251778534506548,0.0001229388806536825,0.039749129347490524,28.63974609204511,0.09260327855574045,400.9421,0.9382041,1.3307916969153369e-05,True,"<a href=""waveforms/run_291.html"" target=""_blank"">Plot</a>",13.30791696915337,0.9382041,13.790424488159742,2
301,10n,5.9M,13.369825165900602,3.2345059939016053e-06,4.3244135118069756e-05,0.5241369036848794,3.893663357451634e-05,0.039150560006700946,28.478084131251993,0.059485866193131585,400.9262,0.9264789,1.3043075719144981e-05,True,"<a href=""waveforms/run_301.html"" target=""_blank"">Plot</a>",13.043075719144982,0.9264789,13.802089155437914,0
241,10n,5.3M,12.320663625113017,1.5897525582120973e-06,1.958666814802656e-05,0.5264796642452977,1.8851480054617622e-05,0.042686621858370355,26.240034362675363,0.09076883877050954,401.029,0.9551533,1.4588276397329098e-05,True,"<a href=""waveforms/run_241.html"" target=""_blank"">Plot</a>",14.588276397329098,0.9551533,13.8146752681619,2
311,10n,6M,13.545380466372508,2.0234639735492185e-06,2.7409078183253808e-05,0.523972575244174,2.4111571028317452e-05,0.038630353431563,26.186496463703417,0.07025433976202766,400.9095,0.9330655999999999,1.2832460043701613e-05,True,"<a href=""waveforms/run_311.html"" target=""_blank"">Plot</a>",12.832460043701612,0.9330655999999999,13.848238184998387,0
231,10n,5.2M,12.143504421154324,1.8762385854943998e-06,2.2783974788070997e-05,0.5267690531800197,9.698093121324636e-05,0.04333907798970694,26.754849862101807,0.10068250808394312,401.0494,0.9589223,1.4885858404673842e-05,True,"<a href=""waveforms/run_231.html"" target=""_blank"">Plot</a>",14.885858404673842,0.9589223,13.865160148770167,2
321,10n,6.1M,13.7213128288243,2.9878194325055416e-06,4.099643252389379e-05,0.5227541232775661,0.000200900490546691,0.038045691679841405,25.109043462273803,0.08057239267180014,400.89439999999996,0.9298826,1.2594498098344609e-05,True,"<a href=""waveforms/run_321.html"" target=""_blank"">Plot</a>",12.594498098344609,0.9298826,13.88696843911788,0
