RunID,C2,R3,Rcl1,AvgFreq_Hz,Jitter_s,Stability,DutyCycle,Duty_Stability,PulseWidth_s,OnOffRatio,OnOff_Stability,Peak_uA,Low_uA,PulseCharge_C,Rejected,Plot,Charge_uC,Off_uA,Distance,Cluster
242,100n,2M,105K,1.7646282770162487,0.2096842614425369,0.3958860526231225,0.044084457276506575,0.9921118817079184,0.03386064056105753,10.640369629006962,0.07976408764149584,236.2072,12.97169,6.136289578920186e-06,True,"<a href=""waveforms/run_242.html"" target=""_blank"">Plot</a>",6.136289578920186,12.97169,0.2976625174905804,2
620,31n,10M,205K,1.9443785516315155,0.220739389853007,0.39294742963142865,0.05034730138869419,1.0379624827213318,0.036810791312902234,16.234489707017673,0.22984244945094232,209.9379,6.549217,6.0275246144368615e-06,True,"<a href=""waveforms/run_620.html"" target=""_blank"">Plot</a>",6.027524614436862,6.549217,0.44523016693618306,2
231,100n,1.5M,105K,1.9894987653126814,0.139234985941405,0.28501721055279483,0.0555774206523155,0.9419574721952656,0.03482719048022446,10.059317443517013,0.10670183492066668,239.15429999999998,13.18698,6.0967192844510405e-06,True,"<a href=""waveforms/run_231.html"" target=""_blank"">Plot</a>",6.096719284451041,13.18698,0.4989625849974734,2
240,81n,2M,105K,1.9602739473601218,0.2086514252156568,0.3222446204212427,0.04889748776812539,1.0428327916433355,0.03266638265598172,10.399189278675863,0.11342471059940372,236.33589999999998,12.971680000000001,5.6362740034599105e-06,True,"<a href=""waveforms/run_240.html"" target=""_blank"">Plot</a>",5.636274003459911,12.971680000000001,0.5866418900637331,1
609,31n,9.5M,205K,1.9433202026964012,0.20976569010645393,0.37758804857554606,0.059446942689560155,0.8927214244638539,0.04033886143419488,16.207195599317362,0.18593524635150718,210.4802,6.56401,6.502973582107089e-06,True,"<a href=""waveforms/run_609.html"" target=""_blank"">Plot</a>",6.502973582107089,6.56401,0.6704589669893412,0
241,91n,2M,105K,1.8930921346415255,0.14279888150314596,0.28500694859529085,0.05785283092100498,0.8965589400574694,0.03693543594207443,10.620972828514434,0.11656516161329952,236.2841,12.97169,6.604065404771394e-06,True,"<a href=""waveforms/run_241.html"" target=""_blank"">Plot</a>",6.6040654047713945,12.97169,0.720705515143779,0
248,51n,2.5M,105K,2.1461651162478725,0.12201089899544919,0.2718991446739157,0.06681031497155795,0.7633498582031081,0.03739682706587196,10.910369464919146,0.11006353495685563,234.2485,12.82424,6.442970943350967e-06,True,"<a href=""waveforms/run_248.html"" target=""_blank"">Plot</a>",6.442970943350967,12.82424,0.7834236491891678,2
251,81n,2.5M,105K,1.9230652340937011,0.18286357399154943,0.340064547524373,0.041085154837045716,1.0985342986067632,0.029930416666344453,10.573061636054655,0.11545519743085336,234.0475,12.821620000000001,5.30928597665951e-06,True,"<a href=""waveforms/run_251.html"" target=""_blank"">Plot</a>",5.30928597665951,12.821620000000001,0.8099815148125081,1
1055,91n,1M,505K,2.3649470076355272,0.35201831743140066,0.44269608739599164,0.08431893148121695,0.7869338544495789,0.039520304169770634,16.44143994513469,0.06305442714633289,198.604,3.821005,6.010062710333231e-06,True,"<a href=""waveforms/run_1055.html"" target=""_blank"">Plot</a>",6.010062710333231,3.821005,0.8650055399573481,2
648,91n,1.5M,305K,2.1989660494042,0.17881742881042165,0.3176026277662115,0.07755530889034602,0.5333223233842461,0.04297758861149503,16.592526119686365,0.08015598752234437,216.49120000000002,5.243602,6.824836956075712e-06,True,"<a href=""waveforms/run_648.html"" target=""_blank"">Plot</a>",6.824836956075712,5.243602,1.0811612008983493,0
